[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 50/70: graph seed0 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/graph/seed0  Start: Sat Jun 27 17:14:44 EDT 2026
Sat Jun 27 17:14:44 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:3B:00.0 Off |                    0 |
| N/A   30C    P0             36W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=0 warmup=5000 batch=256 target_update(updates)=200 render=off
step=   20000 ep_ret=-96.117 eval_ret=-48.651 pursuer_target_distance=6.586 capture=0.000 cap=0.000 td_loss=1.0853 q_tot=+12.465 tgt=+12.475 gnorm=86.82 w_min=0.00e+00 eps=0.621 buf=20000 upd=469 seed=0
step=   40000 ep_ret=-101.254 eval_ret=-41.486 pursuer_target_distance=7.268 capture=0.000 cap=0.000 td_loss=0.1023 q_tot=+12.858 tgt=+12.850 gnorm=29.55 w_min=4.19e-09 eps=0.241 buf=40000 upd=1094 seed=0
step=   60000 ep_ret=-87.904 eval_ret=-49.929 pursuer_target_distance=7.206 capture=0.000 cap=0.005 td_loss=0.1535 q_tot=+12.673 tgt=+12.669 gnorm=38.88 w_min=1.58e-08 eps=0.050 buf=60000 upd=1719 seed=0
step=   80000 ep_ret=-85.813 eval_ret=-48.930 pursuer_target_distance=6.939 capture=0.001 cap=0.009 td_loss=0.1935 q_tot=+11.316 tgt=+11.312 gnorm=44.03 w_min=1.86e-09 eps=0.050 buf=80000 upd=2344 seed=0
step=  100000 ep_ret=-83.264 eval_ret=-38.491 pursuer_target_distance=5.988 capture=0.000 cap=0.005 td_loss=0.2161 q_tot=+10.078 tgt=+10.074 gnorm=45.44 w_min=5.03e-08 eps=0.050 buf=100000 upd=2969 seed=0
step=  120000 ep_ret=-67.665 eval_ret=-25.406 pursuer_target_distance=5.286 capture=0.000 cap=0.010 td_loss=0.2454 q_tot=+9.101 tgt=+9.097 gnorm=48.87 w_min=1.86e-09 eps=0.050 buf=100000 upd=3594 seed=0
step=  140000 ep_ret=-50.061 eval_ret=-54.482 pursuer_target_distance=4.585 capture=0.001 cap=0.016 td_loss=0.2495 q_tot=+8.420 tgt=+8.416 gnorm=50.63 w_min=7.45e-09 eps=0.050 buf=100000 upd=4219 seed=0
step=  160000 ep_ret=-53.441 eval_ret=-36.716 pursuer_target_distance=4.284 capture=0.002 cap=0.009 td_loss=0.2813 q_tot=+7.731 tgt=+7.727 gnorm=52.16 w_min=4.66e-09 eps=0.050 buf=100000 upd=4844 seed=0
step=  180000 ep_ret=-39.673 eval_ret=-27.616 pursuer_target_distance=3.949 capture=0.006 cap=0.036 td_loss=0.3511 q_tot=+7.176 tgt=+7.170 gnorm=58.34 w_min=1.49e-08 eps=0.050 buf=100000 upd=5469 seed=0
step=  200000 ep_ret=-44.575 eval_ret=-32.023 pursuer_target_distance=3.681 capture=0.002 cap=0.016 td_loss=0.4334 q_tot=+6.565 tgt=+6.564 gnorm=68.23 w_min=1.34e-07 eps=0.050 buf=100000 upd=6094 seed=0
step=  220000 ep_ret=-38.858 eval_ret=-26.574 pursuer_target_distance=3.689 capture=0.001 cap=0.010 td_loss=0.5426 q_tot=+5.973 tgt=+5.972 gnorm=76.56 w_min=6.40e-09 eps=0.050 buf=100000 upd=6719 seed=0
step=  240000 ep_ret=-33.092 eval_ret=-25.637 pursuer_target_distance=3.301 capture=0.006 cap=0.045 td_loss=0.6471 q_tot=+5.538 tgt=+5.539 gnorm=84.86 w_min=2.24e-08 eps=0.050 buf=100000 upd=7344 seed=0
step=  260000 ep_ret=-34.160 eval_ret=-33.587 pursuer_target_distance=3.342 capture=0.006 cap=0.031 td_loss=0.8115 q_tot=+4.917 tgt=+4.913 gnorm=95.76 w_min=1.49e-08 eps=0.050 buf=100000 upd=7969 seed=0
step=  280000 ep_ret=-36.523 eval_ret=-35.207 pursuer_target_distance=3.111 capture=0.000 cap=0.010 td_loss=0.7897 q_tot=+4.584 tgt=+4.582 gnorm=92.02 w_min=9.31e-09 eps=0.050 buf=100000 upd=8594 seed=0
step=  300000 ep_ret=-32.607 eval_ret=-22.701 pursuer_target_distance=3.031 capture=0.001 cap=0.010 td_loss=0.8600 q_tot=+4.566 tgt=+4.563 gnorm=93.35 w_min=3.73e-08 eps=0.050 buf=100000 upd=9219 seed=0
step=  320000 ep_ret=-13.113 eval_ret=-40.769 pursuer_target_distance=2.813 capture=0.008 cap=0.054 td_loss=1.0045 q_tot=+5.175 tgt=+5.176 gnorm=108.68 w_min=3.54e-08 eps=0.050 buf=100000 upd=9844 seed=0
step=  340000 ep_ret=-29.785 eval_ret=-17.562 pursuer_target_distance=3.074 capture=0.003 cap=0.031 td_loss=1.1733 q_tot=+5.571 tgt=+5.574 gnorm=117.51 w_min=9.31e-09 eps=0.050 buf=100000 upd=10469 seed=0
