[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 67/70: graph_zm seed7 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/graph_zm/seed7  Start: Sat Jun 27 17:21:09 EDT 2026
Sat Jun 27 17:21:09 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:3B:00.0 Off |                    0 |
| N/A   29C    P0             36W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=7 warmup=5000 batch=256 target_update(updates)=200 render=off
step=   20000 ep_ret=-98.164 eval_ret=-92.787 pursuer_target_distance=6.622 capture=0.000 cap=0.000 td_loss=0.4576 q_tot=+11.168 tgt=+11.151 gnorm=61.64 w_min=0.00e+00 eps=0.621 buf=20000 upd=469 seed=7
step=   40000 ep_ret=-92.636 eval_ret=-89.652 pursuer_target_distance=6.897 capture=0.000 cap=0.000 td_loss=0.1014 q_tot=+12.023 tgt=+12.014 gnorm=31.33 w_min=8.61e-09 eps=0.241 buf=40000 upd=1094 seed=7
step=   60000 ep_ret=-92.493 eval_ret=-52.458 pursuer_target_distance=7.412 capture=0.001 cap=0.005 td_loss=0.1463 q_tot=+11.755 tgt=+11.749 gnorm=40.20 w_min=9.78e-09 eps=0.050 buf=60000 upd=1719 seed=7
step=   80000 ep_ret=-79.863 eval_ret=-40.200 pursuer_target_distance=6.059 capture=0.004 cap=0.013 td_loss=0.2050 q_tot=+10.445 tgt=+10.438 gnorm=45.81 w_min=2.33e-09 eps=0.050 buf=80000 upd=2344 seed=7
step=  100000 ep_ret=-63.645 eval_ret=-43.411 pursuer_target_distance=5.435 capture=0.000 cap=0.005 td_loss=0.2431 q_tot=+8.737 tgt=+8.732 gnorm=52.81 w_min=2.61e-08 eps=0.050 buf=100000 upd=2969 seed=7
step=  120000 ep_ret=-48.852 eval_ret=-49.224 pursuer_target_distance=5.022 capture=0.001 cap=0.021 td_loss=0.3340 q_tot=+7.972 tgt=+7.967 gnorm=65.28 w_min=0.00e+00 eps=0.050 buf=100000 upd=3594 seed=7
step=  140000 ep_ret=-52.061 eval_ret=-32.958 pursuer_target_distance=4.107 capture=0.004 cap=0.021 td_loss=0.4059 q_tot=+7.304 tgt=+7.297 gnorm=72.57 w_min=9.31e-10 eps=0.050 buf=100000 upd=4219 seed=7
step=  160000 ep_ret=-39.866 eval_ret=-38.076 pursuer_target_distance=3.873 capture=0.001 cap=0.009 td_loss=0.4927 q_tot=+7.256 tgt=+7.253 gnorm=82.08 w_min=5.59e-09 eps=0.050 buf=100000 upd=4844 seed=7
step=  180000 ep_ret=-41.098 eval_ret=-35.652 pursuer_target_distance=3.131 capture=0.002 cap=0.031 td_loss=0.4671 q_tot=+7.486 tgt=+7.484 gnorm=79.34 w_min=1.96e-08 eps=0.050 buf=100000 upd=5469 seed=7
step=  200000 ep_ret=-44.338 eval_ret=-32.001 pursuer_target_distance=3.648 capture=0.004 cap=0.021 td_loss=0.5320 q_tot=+7.843 tgt=+7.841 gnorm=81.67 w_min=1.86e-08 eps=0.050 buf=100000 upd=6094 seed=7
step=  220000 ep_ret=-36.693 eval_ret=-31.353 pursuer_target_distance=3.547 capture=0.002 cap=0.016 td_loss=0.6043 q_tot=+8.032 tgt=+8.026 gnorm=92.22 w_min=6.52e-09 eps=0.050 buf=100000 upd=6719 seed=7
